;Name;Alt_Name
0;Nene Hilario;Nene
1;Jose Barea;JJ Barea
2;Wes Matthews;Wesley Matthews
3;Jianlian Yi;Yi Jianlian
4;Moe Harkless;Maurice Harkless
5;DJ Augustine;DJ Augustin
6;Dennis Schröder;Dennis Schroder
7;Ron Artest;Metta World Peace
8;BJ Mullens;Byron Mullens
9;Scottie Pippen;Scotty Pippen
10;Alex Ajinca;Alexis Ajinca
11;Stanislav Medvedenko;Slava Medvedenko
12;Jeff Taylor;Jeffery Taylor
13;Jamal Mashburn;N/a
14;Wes Johnson;Wesley Johnson
15;Didier Mbenga;DJ Mbenga
16;Corie Blount;N/a
17;Moe Wagner;Moritz Wagner
18;Peja Drobnjak;Predrag Drobnjak
19;Penny Hardaway;Anfernee Hardaway
20;Juan Hernangomez;Juancho Hernangomez
21;Travis Hansen;N/a
22;Herb Jones;Herbert Jones
23;Chris Jefferies;N/a
24;Karl Malone;N/a
25;Frank Mason;Frank Mason III
26;Horace Grant;N/a
27;Mike Sweetney;Michael Sweetney
28;Keon Clark;N/a
29;Popeye Jones;N/a
30;Avery Johnson;N/a
31;Steve Kerr;N/a
32;Linton Johnson III;Linton Johnson
33;Qi Zhou;Zhou Qi
35;Chris Crawford;N/a
36;Wang Zhi-Zhi;Wang Zhi-zhi
37;Pavel Podkolzine;Pavel Podkolzin
38;Vladimir Stepania;N/a
39;James McAdoo;James Michael McAdoo
40;BJ Boston;Brandon Boston
41;Steve Smith;Steven Smith
42;George Karl;N/a
43;Robert Archibald;N/a
44;John Wallace;N/a
45;Clarence Weatherspoon;Clar Weatherspoon
46;Ognen Kuzmic;Ognjen Kuzmic
48;Pat Riley;N/a
49;Saer Sene;Mouhamed Sene
50;Roy Marble;N/a
51;Courtney Alexander;N/a
52;Rick Fox;N/a
53;Olden Polynice;N/a
54;Cezary Trybanski;N/a
55;Tyrone Hill;N/a
56;Mitchell Butler;N/a
57;Hubert Davis;N/a
58;Eddie Robinson;N/a
59;Jerome Beasley;N/a
60;Chris Mills;N/a
61;Bimbo Coles;N/a
62;Sasha Kravtsov;Viacheslav Kravtsov
63;Nate McMillan;N/a
65;Doug Moe;N/a
66;Olivier Saint-Jean;N/a
67;Jeff Trepagnier;N/a
68;Todd MacCulloch;N/a
69;Monty Williams;N/a
70;Steve Clifford;N/a
71;Shane Heal;N/a
72;Phil Jackson;N/a
73;Bryce Drew;N/a
74;Troy Bell;N/a
75;Milos Tedosic;N/a
76;Larry Brown;N/a
77;v;N/a
78;Doug Overton;N/a
79;Chris Whitney;N/a
80;Ruben Boumtje Boumtje;N/a
81;Iggy Brazdeikis;Ignas Brazdeikis
82;Didi Louzada Silva;Didi Louzada
83;Tim Pickett;N/a
84;JR Bremer;N/a
85;Ha Seung-Jin;N/a
86;John Amaechi;N/a
87;Nick Nurse;N/a
88;Daulton Hommes;N/a
89;sore calf;N/a
90;NBA health and safety protocols;N/a
91;left knee injury;N/a
92;Billy Ouattara;N/a
93;Malik Ellison;N/a
94;Heat;N/a
95;Giorgios Papagiannis;Georgios Papagiannis
96;Jeff Pendergraph;N/a
97;left wrist injury;N/a
98;Enes Kanter;Enes Freedom
99;Bill Walker;Henry Walker
100;strained left quadriceps;N/a
101;Romain Sato;N/a
102;Jerry Sloan;N/a
103;Danny Ainge;N/a
104;Jay Williams;N/a
105;Josh Moore;N/a
106;Terrell Brandon;N/a
107;Slavko Vranes;N/a
108;Jon Stefansson;N/a
109;Chris Marcus;N/a
110;Ben Davis;N/a
111;Evan Eschmeyer;N/a
112;Pepe Sanchez;N/a
113;Cherokee Parks;N/a
114;Brandon Armstrong;N/a
115;Mengke Bateer;N/a
116;Dan Langhi;N/a
117;Sean Rooks;N/a
118;Amal McCaskill;N/a
119;Tommy Smith;N/a
120;Arthur Johnson;N/a
121;Ibo Kutluay;Ibrahim Kutluay
122;Tractor Traylor;Robert Traylor
123;Don Nelson;N/a
124;Lucas Tischer;N/a
126;Randy Wittman;N/a
127;Adam Haluska;N/a
128;Hank Egan;N/a
129;Jason Richards;N/a
130;Maurice Lucas;N/a
131;sore knee;N/a
